county,candidate,party,write-in,votes
Anne Arundel,Durham/ Lopez,Other, (Write In),0
Anne Arundel,Miller/ Bertram,Other, (Write In),2
Anne Arundel,Leon Leo Ray,Other, (Write In),0
Anne Arundel,Michael David Boyles,Unaffiliated, (Write In),0
Anne Arundel,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Anne Arundel,Chehade/ McAllister,Unaffiliated, (Write In),2
Baltimore City,Durham/ Lopez,Other, (Write In),5
Baltimore City,Miller/ Bertram,Other, (Write In),3
Baltimore City,Leon Leo Ray,Other, (Write In),0
Baltimore City,Michael David Boyles,Unaffiliated, (Write In),1
Baltimore City,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Baltimore City,Chehade/ McAllister,Unaffiliated, (Write In),2
Baltimore,Durham/ Lopez,Other, (Write In),4
Baltimore,Miller/ Bertram,Other, (Write In),0
Baltimore,Leon Leo Ray,Other, (Write In),0
Baltimore,Michael David Boyles,Unaffiliated, (Write In),0
Baltimore,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Baltimore,Chehade/ McAllister,Unaffiliated, (Write In),1
Calvert,Durham/ Lopez,Other, (Write In),0
Calvert,Miller/ Bertram,Other, (Write In),0
Calvert,Leon Leo Ray,Other, (Write In),0
Calvert,Michael David Boyles,Unaffiliated, (Write In),0
Calvert,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Calvert,Chehade/ McAllister,Unaffiliated, (Write In),0
Caroline,Durham/ Lopez,Other, (Write In),0
Caroline,Miller/ Bertram,Other, (Write In),0
Caroline,Leon Leo Ray,Other, (Write In),0
Caroline,Michael David Boyles,Unaffiliated, (Write In),0
Caroline,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Caroline,Chehade/ McAllister,Unaffiliated, (Write In),0
Carroll,Durham/ Lopez,Other, (Write In),0
Carroll,Miller/ Bertram,Other, (Write In),0
Carroll,Leon Leo Ray,Other, (Write In),0
Carroll,Michael David Boyles,Unaffiliated, (Write In),0
Carroll,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Carroll,Chehade/ McAllister,Unaffiliated, (Write In),0
Cecil,Durham/ Lopez,Other, (Write In),0
Cecil,Miller/ Bertram,Other, (Write In),0
Cecil,Leon Leo Ray,Other, (Write In),0
Cecil,Michael David Boyles,Unaffiliated, (Write In),0
Cecil,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Cecil,Chehade/ McAllister,Unaffiliated, (Write In),0
Charles,Durham/ Lopez,Other, (Write In),0
Charles,Miller/ Bertram,Other, (Write In),2
Charles,Leon Leo Ray,Other, (Write In),0
Charles,Michael David Boyles,Unaffiliated, (Write In),0
Charles,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Charles,Chehade/ McAllister,Unaffiliated, (Write In),0
Dorchester,Durham/ Lopez,Other, (Write In),0
Dorchester,Miller/ Bertram,Other, (Write In),0
Dorchester,Leon Leo Ray,Other, (Write In),0
Dorchester,Michael David Boyles,Unaffiliated, (Write In),1
Dorchester,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Dorchester,Chehade/ McAllister,Unaffiliated, (Write In),0
Frederick,Durham/ Lopez,Other, (Write In),0
Frederick,Miller/ Bertram,Other, (Write In),0
Frederick,Leon Leo Ray,Other, (Write In),0
Frederick,Michael David Boyles,Unaffiliated, (Write In),0
Frederick,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Frederick,Chehade/ McAllister,Unaffiliated, (Write In),2
Garrett,Durham/ Lopez,Other, (Write In),0
Garrett,Miller/ Bertram,Other, (Write In),0
Garrett,Leon Leo Ray,Other, (Write In),0
Garrett,Michael David Boyles,Unaffiliated, (Write In),0
Garrett,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Garrett,Chehade/ McAllister,Unaffiliated, (Write In),0
Harford,Durham/ Lopez,Other, (Write In),1
Harford,Miller/ Bertram,Other, (Write In),6
Harford,Leon Leo Ray,Other, (Write In),0
